on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_persons_harmed
SAINT MARKS AVENUE              ,11,0,11
BOND STREET                     ,11,0,11
AVENUE W                        ,11,0,11
WEST 116 STREET                 ,11,0,11
35 STREET                       ,11,0,11
ASHFORD STREET                  ,11,0,11
WEST 195 STREET                 ,11,0,11
HOLLIS AVENUE                   ,11,0,11
EAST 141 STREET                 ,11,0,11
201 STREET                      ,11,0,11
223 STREET                      ,11,0,11
WEST 127 STREET                 ,11,0,11
17 AVENUE                       ,11,0,11
JEFFERSON STREET                ,11,0,11
VARICK STREET                   ,11,0,11
MILLER AVENUE                   ,11,0,11
NEREID AVENUE                   ,11,0,11
CLINTON STREET                  ,11,0,11
71 STREET                       ,11,0,11
EAST 85 STREET                  ,11,0,11
149 AVENUE                      ,11,0,11
71 AVENUE                       ,11,0,11
61 STREET                       ,11,0,11
EAST 57 STREET                  ,11,0,11
STERLING PLACE                  ,11,0,11
41 STREET                       ,10,0,10
POST AVENUE                     ,10,0,10
79 STREET                       ,10,0,10
WILLIAMSBURG STREET WEST        ,10,0,10
MORRISON AVENUE                 ,10,0,10
143 AVENUE                      ,10,0,10
44 STREET                       ,10,0,10
EAST 181 STREET                 ,10,0,10
HUGUENOT AVENUE                 ,10,0,10
EAST 139 STREET                 ,10,0,10
ERSKINE STREET                  ,10,0,10
LONG ISLAND EXPRESSWAY (CDR)    ,10,0,10
130 AVENUE                      ,10,0,10
HINSDALE STREET                 ,10,0,10
EAST 99 STREET                  ,10,0,10
WEST 131 STREET                 ,10,0,10
WILLIS AVENUE                   ,10,0,10
EAST 178 STREET                 ,10,0,10
126 STREET                      ,10,0,10
116 AVENUE                      ,10,0,10
WEST 169 STREET                 ,10,0,10
VERRAZANO BRIDGE                ,10,0,10
SKILLMAN AVENUE                 ,10,0,10
177 STREET                      ,10,0,10
24 AVENUE                       ,9,1,10
AUSTIN STREET                   ,10,0,10
SHELL ROAD                      ,10,0,10
EAST 172 STREET                 ,10,0,10
DAVIDSON AVENUE                 ,10,0,10
ARLINGTON AVENUE                ,10,0,10
ROCKLAND AVENUE                 ,10,0,10
199 STREET                      ,10,0,10
CHAMBERS STREET                 ,10,0,10
FOREST HILL ROAD                ,10,0,10
EAST 241 STREET                 ,10,0,10
76 STREET                       ,10,0,10
STORY AVENUE                    ,10,0,10
81 AVENUE                       ,10,0,10
CLEVELAND STREET                ,10,0,10
KNAPP STREET                    ,10,0,10
WILLOUGHBY AVENUE               ,10,0,10
57 STREET                       ,10,0,10
EAST 27 STREET                  ,10,0,10
ORCHARD BEACH ROAD              ,10,0,10
91 AVENUE                       ,10,0,10
EAST 29 STREET                  ,10,0,10
LEFFERTS AVENUE                 ,10,0,10
PATCHEN AVENUE                  ,10,0,10
ROEBLING STREET                 ,9,0,9
CORONA AVENUE                   ,9,0,9
CHESTER STREET                  ,8,1,9
55 STREET                       ,9,0,9
WEST 6 STREET                   ,9,0,9
65 PLACE                        ,9,0,9
CARPENTER AVENUE                ,8,1,9
BROOKLYN BATTERY TUNNEL         ,9,0,9
28 AVENUE                       ,9,0,9
WEST 179 STREET                 ,9,0,9
KOSCIUSZKO STREET               ,9,0,9
57 AVENUE                       ,9,0,9
BOERUM PLACE                    ,9,0,9
28 STREET                       ,9,0,9
EAST 36 STREET                  ,9,0,9
HANCOCK STREET                  ,9,0,9
WATER STREET                    ,9,0,9
56 STREET                       ,9,0,9
EAST 117 STREET                 ,9,0,9
WEST 239 STREET                 ,9,0,9
EAST 17 STREET                  ,9,0,9
22 STREET                       ,9,0,9
EAST 144 STREET                 ,9,0,9
CLINTON AVENUE                  ,9,0,9
MARION AVENUE                   ,9,0,9
EAST 151 STREET                 ,9,0,9
EAST 52 STREET                  ,9,0,9
241 STREET                      ,9,0,9
EAST DRIVE                      ,8,1,9
23 STREET                       ,9,0,9
WEST END AVENUE                 ,8,1,9
UNDERHILL AVENUE                ,9,0,9
EAST 94 STREET                  ,9,0,9
MERMAID AVENUE                  ,9,0,9
25 AVENUE                       ,9,0,9
225 STREET                      ,9,0,9
EAST 95 STREET                  ,9,0,9
CONVENT AVENUE                  ,9,0,9
MACOMBS ROAD                    ,9,0,9
WEST 3 STREET                   ,9,0,9
EAST 88 STREET                  ,9,0,9
LINDEN PLACE                    ,9,0,9
THOMSON AVENUE                  ,9,0,9
HUTCHINSON RIVER PARKWAY RAMP   ,9,0,9
COURT STREET                    ,9,0,9
77 STREET                       ,9,0,9
EAST 120 STREET                 ,9,0,9
113 AVENUE                      ,9,0,9
220 STREET                      ,9,0,9
ALEXANDER HAMILTON BRIDGE       ,9,0,9
42 STREET                       ,9,0,9
95 AVENUE                       ,9,0,9
154 STREET                      ,9,0,9
EAST 126 STREET                 ,9,0,9
95 STREET                       ,9,0,9
217 STREET                      ,9,0,9
38 AVENUE                       ,9,0,9
219 STREET                      ,9,0,9
MACE AVENUE                     ,9,0,9
COOPER STREET                   ,9,0,9
REVIEW AVENUE                   ,9,0,9
BRONXDALE AVENUE                ,9,0,9
WEST 132 STREET                 ,9,0,9
WEST 50 STREET                  ,9,0,9
LOUISIANA AVENUE                ,8,1,9
WEST 143 STREET                 ,9,0,9
36 AVENUE                       ,9,0,9
EAST 60 STREET                  ,9,0,9
EAST 104 STREET                 ,9,0,9
ESSEX STREET                    ,9,0,9
EAST 54 STREET                  ,8,0,8
EAST 236 STREET                 ,8,0,8
EAST 224 STREET                 ,8,0,8
DRUMGOOLE ROAD EAST             ,8,0,8
EAST 122 STREET                 ,8,0,8
BENSON AVENUE                   ,8,0,8
EAST 93 STREET                  ,8,0,8
BRUNER AVENUE                   ,8,0,8
EAST 183 STREET                 ,8,0,8
EAST 156 STREET                 ,8,0,8
EAST 134 STREET                 ,8,0,8
EAST 166 STREET                 ,8,0,8
FOSTER ROAD                     ,8,0,8
COOP CITY BOULEVARD             ,8,0,8
EAST 26 STREET                  ,8,0,8
CROSBY AVENUE                   ,8,0,8
EAST 58 STREET                  ,7,1,8
COLONIAL ROAD                   ,8,0,8
FOREST PARK DRIVE               ,8,0,8
EAST 18 STREET                  ,8,0,8
CROMWELL AVENUE                 ,8,0,8
DE WITT AVENUE                  ,7,1,8
EAST BAY AVENUE                 ,8,0,8
COLUMBIA STREET                 ,8,0,8
BECK STREET                     ,8,0,8
EAST 63 STREET                  ,8,0,8
EAST 84 STREET                  ,8,0,8
EAST 39 STREET                  ,8,0,8
CRESTON AVENUE                  ,8,0,8
100 STREET                      ,8,0,8
EAST 168 STREET                 ,8,0,8
EAST 35 STREET                  ,8,0,8
75 AVENUE                       ,8,0,8
AVENUE A                        ,8,0,8
ALBEMARLE ROAD                  ,8,0,8
112 STREET                      ,8,0,8
212 STREET                      ,8,0,8
TAPSCOTT STREET                 ,8,0,8
THIRD AVE BRIDGE                ,8,0,8
TYSENS LANE                     ,8,0,8
173 STREET                      ,8,0,8
172 STREET                      ,8,0,8
NORTH GANNON AVENUE             ,8,0,8
WALKER STREET                   ,8,0,8
97 AVENUE                       ,8,0,8
105 STREET                      ,8,0,8
ALABAMA AVENUE                  ,8,0,8
WEST 126 STREET                 ,8,0,8
WEST 129 STREET                 ,8,0,8
WEST 130 STREET                 ,8,0,8
SOUTH STREET                    ,8,0,8
SHERIDAN AVENUE                 ,8,0,8
69 AVENUE                       ,8,0,8
WILLIAMSBURG BRIDGE             ,8,0,8
OAK POINT AVENUE                ,7,1,8
NEVINS STREET                   ,8,0,8
PARK LANE SOUTH                 ,7,1,8
48 AVENUE                       ,8,0,8
63 AVENUE                       ,8,0,8
63 DRIVE                        ,8,0,8
MORNINGSTAR ROAD                ,8,0,8
SHEEPSHEAD BAY ROAD             ,8,0,8
36 STREET                       ,8,0,8
RESERVOIR AVENUE                ,8,0,8
RHINELANDER AVENUE              ,8,0,8
255 STREET                      ,8,0,8
MELROSE AVENUE                  ,8,0,8
SAYRES AVENUE                   ,8,0,8
WEST 133 STREET                 ,8,0,8
89 STREET                       ,8,0,8
GREENE AVENUE                   ,8,0,8
116 STREET                      ,8,0,8
123 AVENUE                      ,8,0,8
WEST 168 STREET                 ,8,0,8
120 STREET                      ,8,0,8
HARRISON AVENUE                 ,8,0,8
WEST 26 STREET                  ,8,0,8
14 STREET                       ,8,0,8
WEST 144 STREET                 ,8,0,8
HIGHLAND BOULEVARD              ,8,0,8
HIMROD STREET                   ,8,0,8
WEST 24 STREET                  ,8,0,8
125 STREET                      ,8,0,8
REMINGTON STREET                ,7,0,7
RICHMOND HILL ROAD              ,7,0,7
WEST 37 STREET                  ,7,0,7
BRONX BOULEVARD                 ,7,0,7
QUINCY STREET                   ,7,0,7
WEST 139 STREET                 ,7,0,7
134 STREET                      ,7,0,7
CHURCH STREET                   ,7,0,7
SHAKESPEARE AVENUE              ,7,0,7
BRIGHTON BEACH AVENUE           ,7,0,7
WEST 43 STREET                  ,7,0,7
41 AVENUE                       ,7,0,7
PULASKI STREET                  ,7,0,7
EAST 187 STREET                 ,7,0,7
EAST 19 STREET                  ,7,0,7
EAST 157 STREET                 ,7,0,7
EAST 219 STREET                 ,7,0,7
WEST 54 STREET                  ,7,0,7
CADMAN PLAZA WEST               ,7,0,7
PELHAM PARKWAY NORTH            ,7,0,7
51 AVENUE                       ,7,0,7
BEACH 19 STREET                 ,7,0,7
119 AVENUE                      ,7,0,7
PALMETTO STREET                 ,7,0,7
BRUSH AVENUE                    ,7,0,7
EAST 43 STREET                  ,7,0,7
EAST 45 STREET                  ,7,0,7
WEST 236 STREET                 ,7,0,7
CLAY AVENUE                     ,7,0,7
EAST 150 STREET                 ,7,0,7
COMMONWEALTH BOULEVARD          ,7,0,7
BRADDOCK AVENUE                 ,7,0,7
WEST 165 STREET                 ,7,0,7
BORINQUEN PLACE                 ,7,0,7
153 STREET                      ,7,0,7
WEST 121 STREET                 ,7,0,7
WEST 119 STREET                 ,7,0,7
157 STREET                      ,7,0,7
158 STREET                      ,7,0,7
WEST 10 STREET                  ,7,0,7
162 STREET                      ,7,0,7
167 STREET                      ,7,0,7
WEST 17 STREET                  ,7,0,7
WADSWORTH AVENUE                ,7,0,7
VIRGINIA AVENUE                 ,7,0,7
WEST 171 STREET                 ,7,0,7
EAST 142 STREET                 ,7,0,7
COLLEGE AVENUE                  ,7,0,7
EAST 10 STREET                  ,7,0,7
EAST 108 STREET                 ,7,0,7
EAST 115 STREET                 ,7,0,7
TILLOTSON AVENUE                ,7,0,7
WILLETS POINT BOULEVARD         ,7,0,7
142 STREET                      ,7,0,7
204 STREET                      ,7,0,7
EAST 123 STREET                 ,7,0,7
WEST 23 STREET                  ,7,0,7
EAST 129 STREET                 ,6,1,7
EAST 13 STREET                  ,7,0,7
224 STREET                      ,7,0,7
BEAVER STREET                   ,7,0,7
56 ROAD                         ,7,0,7
EAST 16 STREET                  ,7,0,7
64 STREET                       ,7,0,7
JUNIPER BOULEVARD NORTH         ,7,0,7
WOODSIDE AVENUE                 ,7,0,7
ARMSTRONG AVENUE                ,7,0,7
MADISON AVE BRIDGE              ,7,0,7
FORT WASHINGTON AVENUE          ,7,0,7
93 AVENUE                       ,7,0,7
ANTHONY AVENUE                  ,7,0,7
KENMARE STREET                  ,7,0,7
MONTGOMERY STREET               ,7,0,7
7 AVENUE SOUTH                  ,7,0,7
73 STREET                       ,7,0,7
JEFFERSON AVENUE                ,7,0,7
ETNA STREET                     ,7,0,7
EAST 79 STREET                  ,7,0,7
INWOOD STREET                   ,7,0,7
EAST 82 STREET                  ,7,0,7
MILFORD DRIVE                   ,7,0,7
HOLLIS COURT BOULEVARD          ,7,0,7
HOYT AVENUE NORTH               ,7,0,7
ARNOW AVENUE                    ,7,0,7
MARATHON PARKWAY                ,7,0,7
NEW ENGLAND THRUWAY RAMP        ,7,0,7
EAST 55 STREET                  ,7,0,7
G.C.P. / L.I.E (CDR)            ,7,0,7
11 STREET                       ,7,0,7
NAVY STREET                     ,7,0,7
LINCOLN AVENUE                  ,7,0,7
DORCHESTER ROAD                 ,6,0,6
WEST 113 STREET                 ,6,0,6
BAXTER AVENUE                   ,6,0,6
HUNTER AVENUE                   ,6,0,6
FAILE STREET                    ,6,0,6
85 AVENUE                       ,6,0,6
197 STREET                      ,6,0,6
EAST 118 STREET                 ,6,0,6
BOOTH MEMORIAL AVENUE           ,6,0,6
JOHNSON AVENUE                  ,6,0,6
TODT HILL ROAD                  ,6,0,6
EDGEMERE AVENUE                 ,6,0,6
KELLY STREET                    ,6,0,6
WATTS STREET                    ,6,0,6
WASHINGTON STREET               ,6,0,6
190 STREET                      ,6,0,6
166 STREET                      ,6,0,6
19 STREET                       ,6,0,6
113 STREET                      ,6,0,6
WILDER AVENUE                   ,6,0,6
VERMONT PLACE                   ,6,0,6
WEST 137 STREET                 ,6,0,6
EAST 49 STREET                  ,6,0,6
EDENWALD AVENUE                 ,6,0,6
DRIGGS AVENUE                   ,6,0,6
VLEIGH PLACE                    ,6,0,6
110 AVENUE                      ,6,0,6
WEST 138 STREET                 ,6,0,6
BRISTOL STREET                  ,6,0,6
ASHLAND PLACE                   ,6,0,6
WEST 39 STREET                  ,6,0,6
WEST 5 STREET                   ,6,0,6
GIFFORDS LANE                   ,6,0,6
WEST 72 STREET                  ,6,0,6
ATKINS AVENUE                   ,6,0,6
WEST 8 STREET                   ,6,0,6
122 AVENUE                      ,6,0,6
GATEWAY DRIVE                   ,6,0,6
G.C.P. / LAGUARDIA (CDR)        ,6,0,6
BUSSING AVENUE                  ,6,0,6
BURKE AVENUE                    ,6,0,6
FRISBY AVENUE                   ,6,0,6
AUTUMN AVENUE                   ,6,0,6
BROOME STREET                   ,6,0,6
WEST 33 STREET                  ,6,0,6
104 AVENUE                      ,6,0,6
WEST 142 STREET                 ,5,1,6
139 STREET                      ,6,0,6
WEST 151 STREET                 ,6,0,6
TELLER AVENUE                   ,6,0,6
HOE AVENUE                      ,6,0,6
BANCROFT AVENUE                 ,6,0,6
CONKLIN AVENUE                  ,5,1,6
AMBOY STREET                    ,6,0,6
HENDRIX STREET                  ,6,0,6
COMMERCE AVENUE                 ,6,0,6
HART STREET                     ,6,0,6
WEST 174 STREET                 ,6,0,6
144 AVENUE                      ,6,0,6
WEST 177 STREET                 ,6,0,6
ANDREWS AVENUE                  ,6,0,6
WEST 178 STREET                 ,6,0,6
GRASSMERE TERRACE               ,6,0,6
EAST KINGSBRIDGE ROAD           ,6,0,6
88 AVENUE                       ,6,0,6
82 AVENUE                       ,6,0,6
MOUNT HOPE PLACE                ,6,0,6
78 AVENUE                       ,6,0,6
SOUTHERN PARKWAY                ,6,0,6
249 STREET                      ,5,1,6
EAST 28 STREET                  ,6,0,6
EAST 61 STREET                  ,6,0,6
PUTNAM AVENUE                   ,6,0,6
EAST 72 STREET                  ,6,0,6
EAST 74 STREET                  ,6,0,6
EAST 147 STREET                 ,6,0,6
29 STREET                       ,6,0,6
SNEDIKER AVENUE                 ,6,0,6
EAST 64 STREET                  ,6,0,6
27 STREET                       ,6,0,6
SAINT MARKS PLACE               ,6,0,6
PROSPECT STREET                 ,6,0,6
EAST 226 STREET                 ,6,0,6
MANGIN AVENUE                   ,6,0,6
PROSPECT PLACE                  ,6,0,6
243 STREET                      ,6,0,6
PRINCE STREET                   ,6,0,6
FREEMAN STREET                  ,6,0,6
STANHOPE STREET                 ,6,0,6
MACDONOUGH STREET               ,6,0,6
LIE LOWER LEVEL (CDR)           ,5,1,6
STRAUSS STREET                  ,6,0,6
110 STREET                      ,6,0,6
EAST 66 STREET                  ,6,0,6
EAST BROADWAY                   ,6,0,6
55 AVENUE                       ,6,0,6
EAST 137 STREET                 ,6,0,6
PULASKI AVENUE                  ,6,0,6
PARK DRIVE                      ,6,0,6
EAST 48 STREET                  ,6,0,6
LILY POND AVENUE                ,6,0,6
EAST 7 STREET                   ,6,0,6
STEUBEN STREET                  ,6,0,6
EAST 124 STREET                 ,6,0,6
WYONA STREET                    ,6,0,6
LINDEN STREET                   ,6,0,6
EAST 32 STREET                  ,6,0,6
EAST 211 STREET                 ,6,0,6
WEST 30 STREET                  ,5,0,5
CHRISTOPHER STREET              ,5,0,5
PROSPECT PARK SOUTHWEST         ,5,0,5
EAST 221 STREET                 ,5,0,5
GRANDVIEW AVENUE                ,5,0,5
CITY ISLAND AVENUE              ,5,0,5
EAST 227 STREET                 ,5,0,5
WEST 18 STREET                  ,5,0,5
WEST 231 STREET                 ,5,0,5
PUGSLEY AVENUE                  ,5,0,5
HAMILTON PLACE                  ,5,0,5
MOORE STREET                    ,5,0,5
GOULDEN AVENUE                  ,5,0,5
WEST 45 STREET                  ,5,0,5
YELLOWSTONE BOULEVARD           ,5,0,5
CATHEDRAL PARKWAY               ,5,0,5
WESTMINISTER ROAD               ,5,0,5
EAST 56 STREET                  ,5,0,5
ONDERDONK AVENUE                ,5,0,5
WEST HOUSTON STREET             ,5,0,5
NATIONAL STREET                 ,5,0,5
WEST BROADWAY                   ,5,0,5
WEST 96 STREET                  ,5,0,5
EAST 3 STREET                   ,5,0,5
CATALPA AVENUE                  ,5,0,5
WEST 65 STREET                  ,5,0,5
MOTHER GASTON BLVD              ,5,0,5
WEST 56 STREET                  ,5,0,5
GLEANE STREET                   ,5,0,5
CHAUNCEY STREET                 ,5,0,5
WEST 49 STREET                  ,5,0,5
WEST 47 STREET                  ,5,0,5
WEST 46 STREET                  ,5,0,5
CLOVERDALE BOULEVARD            ,5,0,5
WEST 44 STREET                  ,5,0,5
GLEASON AVENUE                  ,5,0,5
PIDGEON MEADOW ROAD             ,5,0,5
WEST 38 STREET                  ,5,0,5
PITMAN AVENUE                   ,5,0,5
CENTRE STREET                   ,5,0,5
GORDON STREET                   ,5,0,5
WEST 35 STREET                  ,5,0,5
EAST 208 STREET                 ,5,0,5
LEONARD STREET                  ,5,0,5
EAST 204 STREET                 ,5,0,5
EAST 15 STREET                  ,5,0,5
WARWICK STREET                  ,5,0,5
DARK STREET                     ,5,0,5
WARREN STREET                   ,5,0,5
ELTON AVENUE                    ,5,0,5
WARING AVENUE                   ,5,0,5
WALES AVENUE                    ,5,0,5
WAINWRIGHT AVENUE               ,5,0,5
DECKER AVENUE                   ,5,0,5
SOUTH 4 STREET                  ,5,0,5
SOUTH ROAD                      ,5,0,5
EAST 140 STREET                 ,5,0,5
VETERANS AVENUE                 ,5,0,5
DUNKIRK STREET                  ,5,0,5
LAKEVIEW BOULEVARD EAST         ,5,0,5
EAST 102 STREET                 ,5,0,5
VANDALIA AVENUE                 ,5,0,5
LAUREL HILL BOULEVARD           ,5,0,5
EAST 111 STREET                 ,5,0,5
LEAVITT STREET                  ,5,0,5
LEGGETT AVENUE                  ,5,0,5
TROUTMAN STREET                 ,5,0,5
TINTON AVENUE                   ,5,0,5
EAST 128 STREET                 ,5,0,5
EAST 119 STREET                 ,5,0,5
THROGS NECK EXPY                ,5,0,5
WASHINGTON BRIDGE               ,5,0,5
WATCHOGUE ROAD                  ,5,0,5
EAST 194 STREET                 ,5,0,5
ELTON STREET                    ,5,0,5
WEST 176 STREET                 ,5,0,5
PULASKI BRIDGE                  ,5,0,5
EAST 71 STREET                  ,5,0,5
HENRY STREET                    ,5,0,5
QUEENS PLAZA NORTH              ,5,0,5
LIBERTY STREET                  ,5,0,5
WEST 15 STREET                  ,5,0,5
CORNAGA AVENUE                  ,5,0,5
EAST 171 STREET                 ,5,0,5
SAND LANE                       ,5,0,5
MIDLAND AVENUE                  ,5,0,5
WEST 136 STREET                 ,5,0,5
SCHERMERHORN STREET             ,5,0,5
COVERT STREET                   ,5,0,5
HUNTERS POINT AVENUE            ,5,0,5
FAIRVIEW AVENUE                 ,4,1,5
SCHOLES STREET                  ,5,0,5
MAPES AVENUE                    ,5,0,5
EAST 91 STREET                  ,5,0,5
JERSEY STREET                   ,5,0,5
MANHATTAN BR LOWER              ,5,0,5
SHORE FRONT PARKWAY             ,5,0,5
WEST 110 STREET                 ,5,0,5
WEST 104 STREET                 ,5,0,5
SHORE ROAD DRIVE                ,5,0,5
WEST 16 STREET                  ,5,0,5
GRANT HIGHWAY                   ,5,0,5
83 STREET                       ,5,0,5
53 STREET                       ,5,0,5
BROOKLYN QUEENS EXPY W          ,5,0,5
263 STREET                      ,5,0,5
106 AVENUE                      ,5,0,5
144 STREET                      ,5,0,5
93 STREET                       ,5,0,5
ADAMS STREET                    ,5,0,5
BROAD STREET                    ,5,0,5
34 STREET                       ,5,0,5
47 AVENUE                       ,5,0,5
BEACH 39 STREET                 ,5,0,5
195 STREET                      ,5,0,5
107 STREET                      ,5,0,5
BAY 32 STREET                   ,5,0,5
AURELIA COURT                   ,5,0,5
9 STREET                        ,5,0,5
66 AVENUE                       ,5,0,5
183 STREET                      ,5,0,5
109 STREET                      ,4,1,5
145 STREET                      ,5,0,5
182 STREET                      ,5,0,5
175 STREET                      ,5,0,5
38 STREET                       ,5,0,5
168 PLACE                       ,5,0,5
40 AVENUE                       ,5,0,5
62 STREET                       ,4,1,5
159 STREET                      ,5,0,5
136 AVENUE                      ,5,0,5
141 STREET                      ,5,0,5
157 AVENUE                      ,5,0,5
67 ROAD                         ,5,0,5
BATHGATE AVENUE                 ,5,0,5
ALEXANDER AVENUE                ,5,0,5
128 STREET                      ,5,0,5
115 STREET                      ,5,0,5
BRADHURST AVENUE                ,5,0,5
128 AVENUE                      ,5,0,5
161 STREET                      ,5,0,5
BEACH AVENUE                    ,4,1,5
131 AVENUE                      ,5,0,5
EAST 105 STREET                 ,4,0,4
PARK DRIVE EAST                 ,4,0,4
EAST 100 STREET                 ,4,0,4
MASPETH AVENUE                  ,4,0,4
BRADLEY AVENUE                  ,4,0,4
TIEMANN AVENUE                  ,4,0,4
140 STREET                      ,4,0,4
TOPPING AVENUE                  ,4,0,4
EAST 103 STREET                 ,4,0,4
52 STREET                       ,4,0,4
PARK CIRCLE                     ,4,0,4
WEST 225 STREET                 ,4,0,4
MARTIN LUTHER KING JR           ,4,0,4
HAVEMEYER STREET                ,4,0,4
ARTHUR AVENUE                   ,4,0,4
68 AVENUE                       ,4,0,4
CODDINGTON AVENUE               ,4,0,4
CLAWSON STREET                  ,4,0,4
WEST 48 STREET                  ,4,0,4
PORT RICHMOND AVENUE            ,4,0,4
EAST 145 STREET                 ,4,0,4
BARCLAY AVENUE                  ,4,0,4
